,premise,hypothesis,extracted_idiom,base_form,idiom_pos,identity_cql,passive_cql,adj_insertion_cql_1,adj_insertion_cql_2,adv_insertion_cql,adv_insertion_cql_adj,nominalization_cql,infinigram_index,infinigram_query,infinigram_count,infinigram_approx,infinigram_latency,infinigram_token_ids,infinigram_tokens,infinigram_error,infinigram_total_tokens,infinigram_per_billion_tokens
91,It comes at a time when the advertising campaign is already in full swing adding another dimension to the promotional mix .,It comes at a time when the advertising campaign is already at the highest point adding another dimension to the promotional mix .,in full swing,in full swing,"[in, full, swing]","q[lemma=""in""][lemma=""full""][lemma=""swing""]",,"q[lemma=""in""][lemma=""full""][tag=""J.*""][lemma=""swing""]",,"q[tag=""RB.?""][lemma=""in""][lemma=""full""][lemma=""swing""]","q[lemma=""in""][tag=""RB.?""][lemma=""full""][lemma=""swing""]",,v4_olmo-mix-1124_llama,in full swing,2652375,False,839.4815921783447,"[297,2989,24500]","[""▁in"",""▁full"",""▁swing""]",,4575475702047,579.6938226146336
92,But their hopes took a dive in the 62nd minute when Polish striker Marcel Witeczek went on a run to score a superb individual goal .,But their hopes fell suddenly in the 62nd minute when Polish striker Marcel Witeczek went on a run to score a superb individual goal .,took a dive,take a dive,"[take, a, dive]","q[lemma=""take""][lemma=""a""][lemma=""dive""]","q[lemma=""a""][lemma=""dive""][lemma=""be""][lemma=""take""]","q[lemma=""take""][lemma=""a""][tag=""J.*""][lemma=""dive""]",,"q[tag=""RB.?""][lemma=""take""][lemma=""a""][lemma=""dive""]",,"q[lemma=""take"" & tag=""N.*""][lemma=""of""][lemma=""a""][lemma=""dive""]",v4_olmo-mix-1124_llama,take a dive,239024,False,717.7670001983643,"[2125,263,270,573]","[""▁take"",""▁a"",""▁d"",""ive""]",,4575475702047,52.240251192474744
93," My faith in God does not take a backseat to anyone else's faith, and I deeply resent the emails and phone calls to my home and to my wife during the holidays when I'm spending time with my daughter, literally calling me the anti-Christ,  Reed said."," My faith in God does not occupy an inferior position to anyone else's faith, and I deeply resent the emails and phone calls to my home and to my wife during the holidays when I'm spending time with my daughter, literally calling me the anti-Christ,  Reed said.",take a backseat,take a back seat,"[take, a, back, seat]","q[lemma=""take""][lemma=""a""][lemma=""back""][lemma=""seat""]","q[lemma=""a""][lemma=""back""][lemma=""seat""][lemma=""be""][lemma=""take""]","q[lemma=""take""][lemma=""a""][lemma=""back""][tag=""J.*""][lemma=""seat""]",,"q[tag=""RB.?""][lemma=""take""][lemma=""a""][lemma=""back""][lemma=""seat""]","q[lemma=""take""][lemma=""a""][tag=""RB.?""][lemma=""back""][lemma=""seat""]","q[lemma=""take"" & tag=""N.*""][lemma=""of""][lemma=""a""][lemma=""back""][lemma=""seat""]",v4_olmo-mix-1124_llama,take a back seat,833168,False,677.011251449585,"[2125,263,1250,12949]","[""▁take"",""▁a"",""▁back"",""▁seat""]",,4575475702047,182.09429013627
94,"Indeed , Putin and Medvedev have worked in perfect tandem with respect to Georgia , cooperating and skillfully performing their different roles , with Putin cast in the lead role of the menacing god of a Russian reckoning , and Medvedev in the supporting role of a possible humanitarian peacemaker .","Indeed , Putin and Medvedev have worked at the same time with respect to Georgia , cooperating and skillfully performing their different roles , with Putin cast in the lead role of the menacing god of a Russian reckoning , and Medvedev in the supporting role of a possible humanitarian peacemaker .",in perfect tandem,in tandem,"[in, tandem]","q[lemma=""in""][lemma=""tandem""]",,"q[lemma=""in""][tag=""J.*""][lemma=""tandem""]",,"q[tag=""RB.?""][lemma=""in""][lemma=""tandem""]",,,v4_olmo-mix-1124_llama,in tandem,5164279,False,779.9036502838135,"[297,10345,2310]","[""▁in"",""▁tan"",""dem""]",,4575475702047,1128.6867937446543
95,"South Shields and Redcar drew 1–1 , while in the Premier League , Norton came a cropper at Ramgarhians , losing 4–2 to goals from F Mathuru , Pefull and H Mathuru ( 2 ) .","South Shields and Redcar drew 1–1 , while in the Premier League , Norton failed at Ramgarhians , losing 4–2 to goals from F Mathuru , Pefull and H Mathuru ( 2 ) .",came a cropper,come a cropper,"[come, a, cropper]","q[lemma=""come""][lemma=""a""][lemma=""cropper""]","q[lemma=""a""][lemma=""cropper""][lemma=""be""][lemma=""come""]","q[lemma=""come""][lemma=""a""][tag=""J.*""][lemma=""cropper""]",,"q[tag=""RB.?""][lemma=""come""][lemma=""a""][lemma=""cropper""]",,"q[lemma=""come"" & tag=""N.*""][lemma=""of""][lemma=""a""][lemma=""cropper""]",v4_olmo-mix-1124_llama,come a cropper,70995,False,659.7251892089844,"[2041,263,8182,2496]","[""▁come"",""▁a"",""▁cro"",""pper""]",,4575475702047,15.516419411480621
96,But an intimate dinner at the château was another matter altogether — because this would be the first time she 'd as much as set eyes on him since he 'd walked away from her outside this very room on that awful night .,But an intimate dinner at the château was another matter altogether — because this would be the first time she 'd as much as seen him since he 'd walked away from her outside this very room on that awful night .,set eyes on,set eyes on,"[set, eye, on]","q[lemma=""set""][lemma=""eye""][lemma=""on""]","q[lemma=""eye""][lemma=""be""][lemma=""set""][lemma=""on""]","q[lemma=""set""][tag=""J.*""][lemma=""eye""][lemma=""on""]",,"q[tag=""RB.?""][lemma=""set""][lemma=""eye""][lemma=""on""]",,"q[lemma=""set"" & tag=""N.*""][lemma=""of""][lemma=""eye""][lemma=""on""]",v4_olmo-mix-1124_llama,set eyes on,370825,False,612.5876903533936,"[731,5076,373]","[""▁set"",""▁eyes"",""▁on""]",,4575475702047,81.04621773733787
97,"‘ Thank you , darling,’ she said and punched me vigorously on the arm to tell me to get lost , though it was half a joke , it 's always half a joke with Dodger .","‘ Thank you , darling,’ she said and punched me vigorously on the arm to tell me to go away , though it was half a joke , it 's always half a joke with Dodger .",get lost,get lost,"[get, lose]","q[lemma=""get""][lemma=""lose""]",,,,"q[tag=""RB.?""][lemma=""get""][lemma=""lose""]",,"q[lemma=""get"" & tag=""N.*""][lemma=""of""][lemma=""lose""]",v4_olmo-mix-1124_llama,get lost,11557899,False,797.7457046508789,"[679,5714]","[""▁get"",""▁lost""]",,4575475702047,2526.0540657726947
98,"However , the debate and the reception accorded to Mr Lawson 's speech was a striking demonstration of the Conservatives ' capacity to close ranks : proof , if proof were needed , of their party 's most formidable political resource .","However , the debate and the reception accorded to Mr Lawson 's speech was a striking demonstration of the Conservatives ' capacity to work together : proof , if proof were needed , of their party 's most formidable political resource .",close ranks,close ranks,"[close, rank]","q[lemma=""close""][lemma=""rank""]",,"q[lemma=""close""][tag=""J.*""][lemma=""rank""]",,"q[tag=""RB.?""][lemma=""close""][lemma=""rank""]",,,v4_olmo-mix-1124_llama,close ranks,220214,False,604.9072742462158,"[3802,27871]","[""▁close"",""▁ranks""]",,4575475702047,48.1292032436058
99,"As a housewife and knitting club member , she ‘ took the plunge’ and opened Woolwork nearly ten years ago and Meryl reckons the success of the shop is due to Lena 's attitude of giving the same smiling service whether the customer wants a cone of yarn or the latest machine .","As a housewife and knitting club member , she ‘ took the risk’ and opened Woolwork nearly ten years ago and Meryl reckons the success of the shop is due to Lena 's attitude of giving the same smiling service whether the customer wants a cone of yarn or the latest machine .",took the plunge,take the plunge,"[take, the, plunge]","q[lemma=""take""][lemma=""the""][lemma=""plunge""]","q[lemma=""the""][lemma=""plunge""][lemma=""be""][lemma=""take""]","q[lemma=""take""][lemma=""the""][tag=""J.*""][lemma=""plunge""]",,"q[tag=""RB.?""][lemma=""take""][lemma=""the""][lemma=""plunge""]",,"q[lemma=""take"" & tag=""N.*""][lemma=""of""][lemma=""the""][lemma=""plunge""]",v4_olmo-mix-1124_llama,take the plunge,1227736,False,775.9842872619629,"[2125,278,715,19440]","[""▁take"",""▁the"",""▁pl"",""unge""]",,4575475702047,268.3296950851972
100,They had sublet another 40 hectares because their 52 hectares of valley and mountain holdings still fall well short of their needs .,They had sublet another 40 hectares because their 52 hectares of valley and mountain holdings still don't meet the expectation of their needs .,fall well short,fall short,"[fall, short]","q[lemma=""fall""][lemma=""short""]",,,,"q[tag=""RB.?""][lemma=""fall""][lemma=""short""]","q[lemma=""fall""][tag=""RB.?""][lemma=""short""]","q[lemma=""fall"" & tag=""N.*""][lemma=""of""][lemma=""short""]",v4_olmo-mix-1124_llama,fall short,4429108,False,0.9903907775878906,"[6416,3273]","[""▁fall"",""▁short""]",,4575475702047,968.0103858968114
101,"With over a million copies in print , the manual is known as the bible of American psychiatry ; certainly it is an invoked chapter and verse in schools , prisons , courts , and by mental - health professionals around the world .","With over a million copies in print , the manual is known as the bible of American psychiatry ; certainly it is an invoked authority in schools , prisons , courts , and by mental - health professionals around the world .",chapter and verse,chapter and verse,"[chapter, and, verse]","q[lemma=""chapter""][lemma=""and""][lemma=""verse""]",,"q[tag=""J.*""][lemma=""chapter""][lemma=""and""][lemma=""verse""]","q[lemma=""chapter""][lemma=""and""][tag=""J.*""][lemma=""verse""]","q[tag=""RB.?""][lemma=""chapter""][lemma=""and""][lemma=""verse""]",,,v4_olmo-mix-1124_llama,chapter and verse,390329,False,562.3095035552979,"[16385,322,23281]","[""▁chapter"",""▁and"",""▁verse""]",,4575475702047,85.30894390399071
102,The researchers have had some interesting experiences when they 've been out and about — it 's not all work and no play — just mostly .,The researchers have had some interesting experiences when they 've been engaing in normal activity — it 's not all work and no play — just mostly .,out and about,out and about,"[out, and, about]","q[lemma=""out""][lemma=""and""][lemma=""about""]",,,,"q[tag=""RB.?""][lemma=""out""][lemma=""and""][lemma=""about""]",,,v4_olmo-mix-1124_llama,out and about,3930244,False,900.1986980438232,"[714,322,1048]","[""▁out"",""▁and"",""▁about""]",,4575475702047,858.9804112043842
103,"But she remembered the sight of him in bed with that would - be starlet and fought the impulse , staring angrily at him instead .","But she remembered the sight of him having sex with that would - be starlet and fought the impulse , staring angrily at him instead .",in bed with,in bed with,"[in, bed, with]","q[lemma=""in""][lemma=""bed""][lemma=""with""]",,"q[lemma=""in""][tag=""J.*""][lemma=""bed""][lemma=""with""]",,"q[tag=""RB.?""][lemma=""in""][lemma=""bed""][lemma=""with""]",,,v4_olmo-mix-1124_llama,in bed with,3606526,False,874.6323585510254,"[297,6592,411]","[""▁in"",""▁bed"",""▁with""]",,4575475702047,788.2297349730201
104,Frogmore must hold the fort .,Frogmore must take the responsibility while another person is temporally absent .,hold the fort,hold the fort,"[hold, the, fort]","q[lemma=""hold""][lemma=""the""][lemma=""fort""]","q[lemma=""the""][lemma=""fort""][lemma=""be""][lemma=""hold""]","q[lemma=""hold""][lemma=""the""][tag=""J.*""][lemma=""fort""]",,"q[tag=""RB.?""][lemma=""hold""][lemma=""the""][lemma=""fort""]",,"q[lemma=""hold"" & tag=""N.*""][lemma=""of""][lemma=""the""][lemma=""fort""]",v4_olmo-mix-1124_llama,hold the fort,101218,False,685.3244304656982,"[4808,278,5162]","[""▁hold"",""▁the"",""▁fort""]",,4575475702047,22.12185280641236
105,"Funny , but even though she knew Delaney , Lawton and Forster were engaging Mahon — she could hear gun fire — the empty shadowy corridors of the place gave her the creeps .","Funny , but even though she knew Delaney , Lawton and Forster were engaging Mahon — she could hear gun fire — the empty shadowy corridors of the place caused her to be afriad .",gave her the creeps,give someone the creeps,"[give, someone, the, creep]","q[lemma=""give""][tag=""PP.?|N.*|DT|RP""]{1,2}[lemma=""the""][lemma=""creep""]","q[lemma=""the""][lemma=""creep""][lemma=""be""][lemma=""give""][tag=""PP.?|N.*|DT|RP""]{1,2}",,,"q[tag=""RB.?""][lemma=""give""][tag=""PP.?|N.*|DT|RP""]{1,2}[lemma=""the""][lemma=""creep""]","q[lemma=""give""][tag=""PP.?|N.*|DT|RP""]{1,2}[lemma=""the""][tag=""RB.?""][lemma=""creep""]","q[lemma=""give"" & tag=""N.*""][lemma=""of""][tag=""PP.?|N.*|DT|RP""]{1,2}[lemma=""the""][lemma=""creep""]",v4_olmo-mix-1124_llama,give someone the creeps,571,False,397.9659080505371,"[2367,4856,278,907,8961]","[""▁give"",""▁someone"",""▁the"",""▁cre"",""eps""]",,4575475702047,0.12479576708156116
106,"They stood her in good stead when her father enrolled her at her next school , Riddlesworth Hall , two hours ' drive from Park House .","They were helpful to her when her father enrolled her at her next school , Riddlesworth Hall , two hours ' drive from Park House .",stood her in good stead,stand someone in good stead,"[stand, someone, in, good, stead]","q[lemma=""stand""][tag=""PP.?|N.*|DT|RP""]{1,2}[lemma=""in""][lemma=""good""][lemma=""stead""]","q[tag=""PP.?|N.*|DT|RP""]{1,2}[lemma=""in""][lemma=""good""][lemma=""stead""][lemma=""be""][lemma=""stand""]","q[lemma=""stand""][tag=""PP.?|N.*|DT|RP""]{1,2}[lemma=""in""][lemma=""good""][tag=""J.*""][lemma=""stead""]",,"q[tag=""RB.?""][lemma=""stand""][tag=""PP.?|N.*|DT|RP""]{1,2}[lemma=""in""][lemma=""good""][lemma=""stead""]","q[lemma=""stand""][tag=""PP.?|N.*|DT|RP""]{1,2}[lemma=""in""][tag=""RB.?""][lemma=""good""][lemma=""stead""]","q[lemma=""stand"" & tag=""N.*""][lemma=""of""][tag=""PP.?|N.*|DT|RP""]{1,2}[lemma=""in""][lemma=""good""][lemma=""stead""]",v4_olmo-mix-1124_llama,stand someone in good stead,387,False,367.2909736633301,"[2317,4856,297,1781,28325]","[""▁stand"",""▁someone"",""▁in"",""▁good"",""▁stead""]",,4575475702047,0.08458136928294951
107,"Batty , who watched Blackburn 's disappointing goalless home League Cup draw with third division Shrewsbury Tuesday night , added : ' I have enjoyed eight good years at Leeds but I can see that Blackburn intend to go places .","Batty , who watched Blackburn 's disappointing goalless home League Cup draw with third division Shrewsbury Tuesday night , added : ' I have enjoyed eight good years at Leeds but I can see that Blackburn intend to improve .",go places,go places,"[go, place]","q[lemma=""go""][lemma=""place""]",,"q[lemma=""go""][tag=""J.*""][lemma=""place""]",,"q[tag=""RB.?""][lemma=""go""][lemma=""place""]",,"q[lemma=""go"" & tag=""N.*""][lemma=""of""][lemma=""place""]",v4_olmo-mix-1124_llama,go places,867352,False,805.9427738189697,"[748,7600]","[""▁go"",""▁places""]",,4575475702047,189.56542586642072
108,At the same time it is my belief that while we were do doing the footings we can also the concrete to fall in line where we will erm put the main floor in .,At the same time it is my belief that while we were do doing the footings we can also the concrete to behave accordingly where we will erm put the main floor in .,fall in line,fall in line,"[fall, in, line]","q[lemma=""fall""][lemma=""in""][lemma=""line""]",,"q[lemma=""fall""][lemma=""in""][tag=""J.*""][lemma=""line""]",,"q[tag=""RB.?""][lemma=""fall""][lemma=""in""][lemma=""line""]",,"q[lemma=""fall"" & tag=""N.*""][lemma=""in""][lemma=""of""][lemma=""line""]",v4_olmo-mix-1124_llama,fall in line,1114774,False,725.5487442016602,"[6416,297,1196]","[""▁fall"",""▁in"",""▁line""]",,4575475702047,243.64111462798647
109,"Sarah hesitated , then seemed to decide to take the bull by the horns .","Sarah hesitated , then seemed to decide to deal bravely with a difficult situation .",take the bull by the horns,take the bull by the horns,"[take, the, bull, by, the, horn]","q[lemma=""take""][lemma=""the""][lemma=""bull""][lemma=""by""][lemma=""the""][lemma=""horn""]","q[lemma=""the""][lemma=""bull""][lemma=""be""][lemma=""take""][lemma=""by""][lemma=""the""][lemma=""horn""]","q[lemma=""take""][lemma=""the""][tag=""J.*""][lemma=""bull""][lemma=""by""][lemma=""the""][lemma=""horn""]","q[lemma=""take""][lemma=""the""][lemma=""bull""][lemma=""by""][lemma=""the""][tag=""J.*""][lemma=""horn""]","q[tag=""RB.?""][lemma=""take""][lemma=""the""][lemma=""bull""][lemma=""by""][lemma=""the""][lemma=""horn""]",,"q[lemma=""take"" & tag=""N.*""][lemma=""of""][lemma=""the""][lemma=""bull""][lemma=""by""][lemma=""the""][lemma=""horn""]",v4_olmo-mix-1124_llama,take the bull by the horns,124617,False,738.072395324707,"[2125,278,289,913,491,278,25341,29879]","[""▁take"",""▁the"",""▁b"",""ull"",""▁by"",""▁the"",""▁horn"",""s""]",,4575475702047,27.23585657863907
110,Besieged PM under fire again,Besieged PM was severely criticized again,under fire,under fire,"[under, fire]","q[lemma=""under""][lemma=""fire""]",,"q[lemma=""under""][tag=""J.*""][lemma=""fire""]",,"q[tag=""RB.?""][lemma=""under""][lemma=""fire""]",,,v4_olmo-mix-1124_llama,under fire,4112940,False,873.779296875,"[1090,3974]","[""▁under"",""▁fire""]",,4575475702047,898.909811314249
111,But the second process — the creation of organic molecules incorporating hydrogen — was the icing on the cake which gave the photosynthesizing organisms their supremacy .,But the second process — the creation of organic molecules incorporating hydrogen — was the finery which gave the photosynthesizing organisms their supremacy .,icing on the cake,icing on the cake,"[ice, on, the, cake]","q[lemma=""ice""][lemma=""on""][lemma=""the""][lemma=""cake""]",,"q[tag=""J.*""][lemma=""ice""][lemma=""on""][lemma=""the""][lemma=""cake""]","q[lemma=""ice""][lemma=""on""][lemma=""the""][tag=""J.*""][lemma=""cake""]","q[tag=""RB.?""][lemma=""ice""][lemma=""on""][lemma=""the""][lemma=""cake""]",,,v4_olmo-mix-1124_llama,icing on the cake,1877187,False,752.0363330841064,"[16077,292,373,278,274,1296]","[""▁ic"",""ing"",""▁on"",""▁the"",""▁c"",""ake""]",,4575475702047,410.27143891512185
112,"IF YOU want to know the pecking order of the various departments in Britain 's universities , try looking at the shareout of the 312 new academic posts announced by the Department of Education and Science last week .","IF YOU want to know the hierarchy of the various departments in Britain 's universities , try looking at the shareout of the 312 new academic posts announced by the Department of Education and Science last week .",pecking order,pecking order,"[pecking, order]","q[lemma=""pecking""][lemma=""order""]",,"q[tag=""J.*""][lemma=""pecking""][lemma=""order""]","q[lemma=""pecking""][tag=""J.*""][lemma=""order""]","q[tag=""RB.?""][lemma=""pecking""][lemma=""order""]",,,v4_olmo-mix-1124_llama,pecking order,1530053,False,730.2827835083008,"[1236,384,292,1797]","[""▁pe"",""ck"",""ing"",""▁order""]",,4575475702047,334.403043450865
113,"… our assertion is that adequate preschool provision can improve the quality of life of young children and their families ; this conviction is given further support by the evidence we have presented in this book that pre - school education will in most circumstances aid the child 's development , increase his educational potential and in the long run his overall performance .","… our assertion is that adequate preschool provision can improve the quality of life of young children and their families ; this conviction is given further support by the evidence we have presented in this book that pre - school education will in most circumstances aid the child 's development , increase his educational potential and eventually his overall performance .",in the long run,the long run,"[the, long, run]","q[lemma=""the""][lemma=""long""][lemma=""run""]",,"q[lemma=""the""][lemma=""long""][tag=""J.*""][lemma=""run""]",,"q[tag=""RB.?""][lemma=""the""][lemma=""long""][lemma=""run""]","q[lemma=""the""][tag=""RB.?""][lemma=""long""][lemma=""run""]",,v4_olmo-mix-1124_llama,the long run,30989224,False,1.4297962188720703,"[278,1472,1065]","[""▁the"",""▁long"",""▁run""]",,4575475702047,6772.896638077628
114,It was not as if what he saw fell short of his expectations .,It was not as if what he saw did not meet his expectations .,fell short,fall short,"[fall, short]","q[lemma=""fall""][lemma=""short""]",,,,"q[tag=""RB.?""][lemma=""fall""][lemma=""short""]","q[lemma=""fall""][tag=""RB.?""][lemma=""short""]","q[lemma=""fall"" & tag=""N.*""][lemma=""of""][lemma=""short""]",v4_olmo-mix-1124_llama,fall short,4429108,False,0.9834766387939453,"[6416,3273]","[""▁fall"",""▁short""]",,4575475702047,968.0103858968114
115,"I 'm not sure how I bent the metal strip , but one possibility comes to mind .","I 'm not sure how I bent the metal strip , but one possibility occurs to me .",comes to mind,come to mind,"[come, to, mind]","q[lemma=""come""][lemma=""to""][lemma=""mind""]",,,,"q[tag=""RB.?""][lemma=""come""][lemma=""to""][lemma=""mind""]",,"q[lemma=""come"" & tag=""N.*""][lemma=""of""][lemma=""to""][lemma=""mind""]",v4_olmo-mix-1124_llama,come to mind,7363211,False,945.8580017089844,"[2041,304,3458]","[""▁come"",""▁to"",""▁mind""]",,4575475702047,1609.2776968973542
116,"Swindon are on a roll at the moment and when things are going right , you ca n't go wrong .","Swindon are having great success at the moment and when things are going right , you ca n't go wrong .",on a roll,on a roll,"[on, a, roll]","q[lemma=""on""][lemma=""a""][lemma=""roll""]",,"q[lemma=""on""][lemma=""a""][tag=""J.*""][lemma=""roll""]",,"q[tag=""RB.?""][lemma=""on""][lemma=""a""][lemma=""roll""]",,,v4_olmo-mix-1124_llama,on a roll,2614283,False,847.2461700439453,"[373,263,9679]","[""▁on"",""▁a"",""▁roll""]",,4575475702047,571.368568044282
117,"This is true across the board, regardless of discipline. ","This is true for all, regardless of discipline.",across the board,across the board,"[across, the, board]","q[lemma=""across""][lemma=""the""][lemma=""board""]",,"q[lemma=""across""][lemma=""the""][tag=""J.*""][lemma=""board""]",,"q[tag=""RB.?""][lemma=""across""][lemma=""the""][lemma=""board""]",,,v4_olmo-mix-1124_llama,across the board,9034325,False,696.1269378662109,"[4822,278,7613]","[""▁across"",""▁the"",""▁board""]",,4575475702047,1974.5105401735989
118,"‘ It is terribly distressing to watch hundreds of years of history going up in smoke,’ she said .","‘ It is terribly distressing to watch hundreds of years of history being destroyed by fire,’ she said .",going up in smoke,go up in smoke,"[go, up, in, smoke]","q[lemma=""go""][lemma=""up""][lemma=""in""][lemma=""smoke""]",,"q[lemma=""go""][lemma=""up""][lemma=""in""][tag=""J.*""][lemma=""smoke""]",,"q[tag=""RB.?""][lemma=""go""][lemma=""up""][lemma=""in""][lemma=""smoke""]",,"q[lemma=""go"" & tag=""N.*""][lemma=""up""][lemma=""of""][lemma=""in""][lemma=""smoke""]",v4_olmo-mix-1124_llama,go up in smoke,252354,False,742.5341606140137,"[748,701,297,25158]","[""▁go"",""▁up"",""▁in"",""▁smoke""]",,4575475702047,55.153609467776334
119,A grinning young pistolier pulled faces behind his back and gestured to his fellows to indicate that the zealot was mad .,A grinning young pistolier expressed dislike behind his back and gestured to his fellows to indicate that the zealot was mad .,pulled faces,pull faces,"[pull, face]","q[lemma=""pull""][lemma=""face""]","q[lemma=""face""][lemma=""be""][lemma=""pull""]","q[lemma=""pull""][tag=""J.*""][lemma=""face""]",,"q[tag=""RB.?""][lemma=""pull""][lemma=""face""]",,"q[lemma=""pull"" & tag=""N.*""][lemma=""of""][lemma=""face""]",v4_olmo-mix-1124_llama,pull faces,23864,False,615.7252788543701,"[8206,17240]","[""▁pull"",""▁faces""]",,4575475702047,5.2156325492721125
120,"Erm so I mean I think , you know , it might be useful , well , in some ways it would be very useful for you to have erm two sort of six month stints in rather different environments so that then you 'd sort of keep your options open a bit .","Erm so I mean I think , you know , it might be useful , well , in some ways it would be very useful for you to have erm two sort of six month stints in rather different environments so that then you 'd sort of wait before the final decision a bit .",keep your options open,keep someone's options open,"[keep, someone, 's, option, open]","q[lemma=""keep""][tag=""PP.?|N.*|DT|RP""]{1,2}[lemma=""option""][lemma=""open""]","q[tag=""PP.?|N.*|DT|RP""]{1,2}[lemma=""option""][lemma=""be""][lemma=""keep""][lemma=""open""]","q[lemma=""keep""][tag=""PP.?|N.*|DT|RP""]{1,2}[tag=""J.*""][lemma=""option""][lemma=""open""]",,"q[tag=""RB.?""][lemma=""keep""][tag=""PP.?|N.*|DT|RP""]{1,2}[lemma=""option""][lemma=""open""]","q[lemma=""keep""][tag=""PP.?|N.*|DT|RP""]{1,2}[lemma=""option""][tag=""RB.?""][lemma=""open""]","q[lemma=""keep"" & tag=""N.*""][lemma=""of""][tag=""PP.?|N.*|DT|RP""]{1,2}[lemma=""option""][lemma=""open""]",v4_olmo-mix-1124_llama,keep someone's options open,0,False,582.8826427459717,"[3013,4856,29915,29879,3987,1722]","[""▁keep"",""▁someone"",""'"",""s"",""▁options"",""▁open""]",,4575475702047,0.0
121,"In a declining market one might well expect a business that had earlier established a dominant share position to be able to trade on this position in the short run and increase prices and profits , because rivals are unlikely to come into the market or compete strongly for market share .","In a declining market one might well expect a business that had earlier established a dominant share position to be able to trade on this position in the near future and increase prices and profits , because rivals are unlikely to come into the market or compete strongly for market share .",trade on,trade on something,"[trade, on, something]","q[lemma=""trade""][lemma=""on""][tag=""PP.?|N.*|DT|RP""]{1,2}",,"q[tag=""J.*""][lemma=""trade""][lemma=""on""][tag=""PP.?|N.*|DT|RP""]{1,2}",,"q[tag=""RB.?""][lemma=""trade""][lemma=""on""][tag=""PP.?|N.*|DT|RP""]{1,2}",,,v4_olmo-mix-1124_llama,trade on something,1471,False,698.333740234375,"[11302,373,1554]","[""▁trade"",""▁on"",""▁something""]",,4575475702047,0.3214966258791182
122,"The horrible truth was slowly dawning on me : I 'd been so preoccupied with finding things like Wellington boots and torches , not to mention boning up on my Enid Blyton , that I 'd forgotten to read the small print .","The horrible truth was slowly dawning on me : I 'd been so preoccupied with finding things like Wellington boots and torches , not to mention boning up on my Enid Blyton , that I 'd forgotten to read the unconspicuous details.",read the small print,the small print,"[the, small, print]","q[lemma=""the""][lemma=""small""][lemma=""print""]",,"q[lemma=""the""][lemma=""small""][tag=""J.*""][lemma=""print""]",,"q[tag=""RB.?""][lemma=""the""][lemma=""small""][lemma=""print""]","q[lemma=""the""][tag=""RB.?""][lemma=""small""][lemma=""print""]",,v4_olmo-mix-1124_llama,the small print,689190,False,948.0233192443848,"[278,2319,1596]","[""▁the"",""▁small"",""▁print""]",,4575475702047,150.62696097187592
123,"After five minutes in Chicago , where every lamp - post is festooned with flyers , where every office is up for grabs , and where every name proclaims the city 's ethnic diversity , a visitor swims in the sheer exuberance .","After five minutes in Chicago , where every lamp - post is festooned with flyers , where every office is available , and where every name proclaims the city 's ethnic diversity , a visitor swims in the sheer exuberance .",up for grabs,up for grabs,"[up, for, grab]","q[lemma=""up""][lemma=""for""][lemma=""grab""]",,"q[lemma=""up""][lemma=""for""][tag=""J.*""][lemma=""grab""]",,"q[tag=""RB.?""][lemma=""up""][lemma=""for""][lemma=""grab""]",,,v4_olmo-mix-1124_llama,up for grabs,2296095,False,0.8497238159179688,"[701,363,2646,5824]","[""▁up"",""▁for"",""▁gra"",""bs""]",,4575475702047,501.8265093119741
124,In last season 's All Ireland decider he again stole the show with a goal and four points .,In last season 's All Ireland decider he again attracted the most attention with a goal and four points .,stole the show,steal the show,"[steal, the, show]","q[lemma=""steal""][lemma=""the""][lemma=""show""]","q[lemma=""the""][lemma=""show""][lemma=""be""][lemma=""steal""]","q[lemma=""steal""][lemma=""the""][tag=""J.*""][lemma=""show""]",,"q[tag=""RB.?""][lemma=""steal""][lemma=""the""][lemma=""show""]",,"q[lemma=""steal"" & tag=""N.*""][lemma=""of""][lemma=""the""][lemma=""show""]",v4_olmo-mix-1124_llama,steal the show,412323,False,733.3600521087646,"[1886,284,278,1510]","[""▁ste"",""al"",""▁the"",""▁show""]",,4575475702047,90.11587577998344
125,"He put it in a nutshell when he said she was the sort of girl who , if there had been a meadow handy , would have been out there in a flash picking cowslips .","He put it concisely when he said she was the sort of girl who , if there had been a meadow handy , would have been out there in a flash picking cowslips .",in a nutshell,in a nutshell,"[in, a, nutshell]","q[lemma=""in""][lemma=""a""][lemma=""nutshell""]",,"q[lemma=""in""][lemma=""a""][tag=""J.*""][lemma=""nutshell""]",,"q[tag=""RB.?""][lemma=""in""][lemma=""a""][lemma=""nutshell""]",,,v4_olmo-mix-1124_llama,in a nutshell,4726879,False,1.8520355224609375,"[297,263,18254,15903]","[""▁in"",""▁a"",""▁nut"",""shell""]",,4575475702047,1033.0901763690417
